,cluster,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
1496,38,left,Anti-Immigration Sentiment,thing,thread,force,getting,"The verb 'getting' is used metaphorically in the phrase 'getting on our tax dollars,' which is an idiom meaning 'to benefit from' or 'to take advantage of.' This idiom transcends the literal action of 'getting' (which would imply physically acquiring something) and instead implies a figurative benefit or exploitation, thereby metaphorically characterizing the target noun 'thread' in the context of the discussion.",'Great Rosie thread on illegal immigration centers and how WEALTHY dems and RINO crooks are getting on our tax dollars.'
1518,38,left,Anti-Immigration Sentiment,thing,It,force,helps,"The verb 'helps' is used metaphorically to describe the abstract action of enabling or facilitating the harboring of illegal aliens and criminals. Here, 'helps' transcends its literal meaning of physical assistance, implying that 'It' (an entity) is actively contributing to an action that is not a direct physical act, thus employing metaphorical language to characterize the target noun.",'It helps harbor illegal aliens and criminals.'
1542,38,left,Anti-Immigration Sentiment,thing,harm&amp,force,cost,"The verb 'cost' is used metaphorically to describe the consequence of the immigrant's actions on the speaker. 'Cost' typically refers to a tangible price or consequence, but here it is applied to 'harm' (an abstract concept), implying that the immigrant's actions 'cost' the speaker physical harm. This transcends the literal physical action of the verb, instead conveying a metaphorical consequence.",'so I should go around and beat every immigrant that cost me physical harm&amp;left me permanently injured ?'
1547,38,left,Anti-Immigration Sentiment,thing,that,force,cost,"The verb 'cost' is used metaphorically here. Typically, 'cost' refers to financial loss or expense, but in this context, it is employed to describe the immigrant's action of causing 'physical harm' and 'permanently injured' states. This usage transcends the literal meaning of 'cost' to convey a metaphorical sense of 'causing harm' or 'resulting in damage,' personifying the immigrant's action as a source of negative consequences.",'so I should go around and beat every immigrant that cost me physical harm&amp;left me permanently injured ?'
1603,38,left,Anti-Immigration Sentiment,thing,rest,force,crowd,"The verb 'crowd' is used metaphorically to denote a group of people associated with the 'Open Borders' movement, rather than referring to a physical gathering. It personifies or represents the target noun 'rest' as part of a collective entity, extending the source verb beyond its literal meaning of a physical crowd.","'That was a self-inflicted tragedy but the many previously deported, illegal aliens who continue to commit crimes here are on you &amp; the rest of the Open Borders crowd'"
1621,38,left,Anti-Immigration Sentiment,thing,sentimentality,force,held,"The verb 'held' is used metaphorically to describe sentimentality as if it were a tangible force capable of restraining or controlling individuals, akin to the physical act of holding someone hostage. This transcends the literal meaning of 'held' (physical grasping) to convey sentimentality's metaphorical role in manipulating or constraining behavior.",'We won't be held hostage by misplaced sentimentality and/or bleeding heart liberalism disguised as genuine concern.'
1657,38,left,Anti-Immigration Sentiment,thing,stamps,force,cutting,"The verb 'cutting' is used metaphorically to describe the action of reducing or eliminating benefits (welfare and food stamps), which transcends its literal meaning of physically severing with a blade. Here, 'cutting' symbolizes policy decisions to remove resources, not a physical action on the stamps themselves.",'I guess cutting welfare and food stamps out for illegals really got you liberals crying.'
1695,38,left,Anti-Immigration Sentiment,thing,immigration,force,crashing,"The verb 'crashing' is used metaphorically to describe 'immigration' as a chaotic or uncontrolled process, transcending its literal meaning of physical collision. It implies a sudden, disruptive entry ('border style immigration') without referring to a tangible action, thereby personifying or conceptualizing the immigration process.","'You know full well people are talking about LEGAL immigration, not crashing the border style immigration.'"
1699,38,left,Anti-Immigration Sentiment,thing,shit,force,give,"The verb 'give' is used metaphorically here to convey the act of providing something insulting or derogatory ('shit') rather than a physical action. The phrase 'give someone shit' is an idiom where 'give' functions as a metaphor to describe the act of delivering verbal abuse, transcending its literal meaning of transferring physical objects.","'Don't give me that sugar-coated ""undocumented"" shit.'"
1721,38,left,Anti-Immigration Sentiment,thing,Laws,force,broke,"The verb 'broke' is used metaphorically to describe the violation of laws, transcending its literal physical action. 'Broke' here signifies the transgression of legal rules, not the actual physical breaking of tangible objects. Laws are abstract concepts, and the metaphorical use of 'broke' conveys their violation rather than a literal action.","'They are illegals not undocumented,they broke Laws first when crossed Boarder!'"
1823,38,left,Anti-Immigration Sentiment,thing,this,force,hurt,"The verb 'hurt' is used metaphorically to describe the negative impact on 'the illegals,' transcending its literal meaning of physical pain. It conveys harm in a conceptual sense, implying adverse consequences rather than direct physical action.",'THIS IS WHAT GOV BROWN IS INVITING INTO CALIFORNIA this will only hurt the illegals who just live quetly and residents YOU Have got to recall or oust GOV BROWN   #news'
